0.03,-0.09,0.94
0.02,-0.08,0.93
0.02,-0.12,0.97
0.02,-0.11,0.97
0.02,-0.10,1.00
0.01,-0.10,1.33
0.00,-0.18,2.04
-0.04,-0.52,2.05
0.04,-0.49,2.05
-0.06,-0.25,1.51
-0.21,-0.10,0.82
-0.17,0.03,0.36
-0.11,0.16,0.10
-0.18,0.23,0.21
-0.59,0.14,0.45
-0.90,0.26,0.56
-1.15,0.11,0.66
-0.87,-0.41,1.00
0.01,-0.26,0.70
0.64,0.01,0.44
0.85,-0.08,0.53
0.85,-0.13,0.63
0.81,0.07,0.50
0.67,0.21,0.43
0.47,0.13,0.31
0.36,0.14,0.20
0.21,0.20,0.02
0.23,0.20,0.20
0.35,-0.13,0.53
0.28,-0.31,1.10
0.45,-0.58,1.71
0.57,-0.82,1.94
0.60,-0.58,1.79
0.44,-0.45,1.51
0.59,-0.35,1.17
0.99,-0.28,0.72
1.32,-0.36,0.44
1.15,-0.65,0.54
1.04,-0.68,0.44
0.85,-0.51,0.46
0.40,-0.13,0.70
-0.57,-0.31,0.96
-0.94,-0.51,1.32
-1.03,-0.33,1.17
-0.83,-0.13,0.92
-0.39,-0.20,0.95
-0.13,-0.34,0.95
-0.10,-0.21,0.92
-0.05,-0.34,0.98
0.07,-0.32,0.94
