-0.13,-0.07,1.02
-0.06,0.01,1.02
-0.01,0.02,1.00
-0.02,-0.06,1.07
-0.01,0.00,0.98
0.05,0.05,0.97
-0.01,0.10,1.03
-0.04,0.05,1.04
-0.08,0.15,1.10
-0.21,0.14,1.16
-0.11,0.07,1.08
-0.01,0.22,1.03
-0.04,0.17,1.01
-0.02,0.07,1.00
0.03,0.05,1.04
0.13,0.07,1.06
0.16,0.10,1.08
0.16,-0.02,1.03
0.23,0.04,1.03
0.18,0.17,0.97
0.15,0.16,0.92
0.21,0.18,0.81
0.21,0.24,0.98
0.13,0.23,1.02
0.19,0.32,1.05
0.07,0.47,1.30
0.04,0.24,1.20
0.27,0.17,0.97
0.43,0.05,0.98
0.14,-0.13,1.12
0.22,-0.01,0.97
0.41,0.15,0.78
0.39,0.23,0.83
0.30,0.08,0.91
0.41,0.05,0.92
0.41,0.15,0.82
0.46,0.12,0.80
0.50,0.06,0.90
0.56,0.05,1.04
0.53,-0.02,0.98
0.52,-0.07,1.04
0.41,-0.10,1.07
0.33,-0.06,0.95
0.23,0.02,0.86
0.23,0.07,0.83
0.19,0.03,0.86
0.10,0.05,0.84
0.07,0.13,0.83
0.15,0.11,0.89
0.10,0.02,0.94
