-0.15,1.13,0.16
-0.10,1.21,0.07
-0.07,1.16,0.10
-0.07,1.12,0.12
-0.03,1.21,0.08
-0.15,1.13,0.18
-0.08,1.13,0.14
-0.07,1.19,0.09
-0.12,1.17,0.18
-0.11,1.14,0.16
-0.09,1.19,0.09
-0.07,1.16,0.09
-0.05,1.16,0.09
-0.11,1.16,0.10
-0.10,1.16,0.11
-0.09,1.16,0.11
-0.12,1.16,0.10
-0.09,1.16,0.10
-0.09,1.15,0.13
-0.09,1.18,0.10
-0.08,1.16,0.12
-0.08,1.15,0.15
-0.09,1.17,0.11
-0.09,1.16,0.10
-0.09,1.16,0.11
-0.10,1.16,0.11
-0.11,1.15,0.14
-0.11,1.15,0.16
-0.12,1.16,0.13
-0.08,1.16,0.15
-0.11,1.14,0.16
-0.11,1.15,0.15
-0.07,1.17,0.14
-0.10,1.14,0.18
-0.11,1.15,0.17
-0.08,1.17,0.15
-0.12,1.13,0.17
-0.11,1.15,0.14
-0.07,1.16,0.15
-0.10,1.15,0.16
-0.11,1.15,0.17
-0.08,1.15,0.19
-0.08,1.14,0.20
-0.05,1.16,0.18
-0.08,1.15,0.19
-0.11,1.15,0.15
-0.10,1.17,0.14
-0.09,1.14,0.18
-0.11,1.14,0.17
-0.06,1.16,0.14
