-0.21,0.93,0.55
-0.29,0.91,0.53
-0.27,0.96,0.48
-0.16,0.99,0.51
-0.14,0.97,0.54
-0.17,1.02,0.51
-0.17,1.07,0.48
-0.19,1.01,0.50
-0.24,1.07,0.48
-0.21,1.08,0.38
-0.20,1.07,0.38
-0.26,1.07,0.36
-0.30,1.07,0.31
-0.24,1.00,0.31
-0.29,1.00,0.32
-0.28,1.01,0.33
-0.21,0.97,0.35
-0.25,0.93,0.33
-0.24,1.07,0.27
-0.16,1.10,0.20
-0.18,1.10,0.18
-0.19,1.17,0.11
-0.19,1.18,0.09
-0.18,1.18,0.08
-0.15,1.18,0.10
-0.19,1.24,0.06
-0.17,1.24,-0.00
-0.10,1.26,0.07
-0.14,1.24,0.12
-0.17,1.19,0.17
-0.13,1.13,0.19
-0.15,1.16,0.14
-0.08,1.14,0.13
0.04,1.15,0.13
-0.01,1.21,0.10
0.25,1.13,0.16
0.28,1.16,0.13
0.14,1.20,0.09
0.19,1.18,0.11
0.33,1.23,0.09
0.39,1.21,0.11
0.36,1.18,0.14
0.33,1.18,0.10
0.33,1.21,0.16
0.26,1.26,0.12
0.21,1.18,0.20
0.26,1.13,0.28
0.24,1.06,0.35
0.32,1.11,0.41
0.28,1.03,0.46
